iter	Logloss
0	0.6522363011
1	0.6204960755
2	0.5974856634
3	0.5758060014
4	0.5584010248
5	0.5452236962
6	0.5303265085
7	0.523197558
8	0.5171985504
9	0.5109042606
10	0.5064978943
11	0.5005593478
12	0.4961111904
13	0.4915234349
14	0.487629448
15	0.4852100666
16	0.4822168168
17	0.4814500826
18	0.4792744527
19	0.4776802329
20	0.4751865578
21	0.4736552197
22	0.4720223185
23	0.4707113067
24	0.4701796726
25	0.4688893624
26	0.4679373896
27	0.4664190478
28	0.4654133625
29	0.464112807
30	0.4630075309
31	0.4622201045
32	0.4610039799
33	0.460032013
34	0.4593271601
35	0.4585168418
36	0.457526497
37	0.4568507206
38	0.4556614843
39	0.4547258895
40	0.4540340866
41	0.4529541707
42	0.4523195332
43	0.4518389527
44	0.4513805654
45	0.4507143806
46	0.4501449762
47	0.4497956211
48	0.4496495932
49	0.4494337615
50	0.4483289234
51	0.4475225956
52	0.4473003873
53	0.4467815565
54	0.4461282265
55	0.4454645339
56	0.4450699019
57	0.4444383468
58	0.4441663328
59	0.4433759374
60	0.4425425076
61	0.4420095499
62	0.4417402718
63	0.4412747953
64	0.4407314616
65	0.440250134
66	0.439674319
67	0.4388776069
68	0.437924081
69	0.4372967878
70	0.4367647539
71	0.4360291496
72	0.4353085663
73	0.4349057678
74	0.4344240484
75	0.4338689348
76	0.4330510429
77	0.4323077448
78	0.4314714104
79	0.4309190429
80	0.4302726052
81	0.4297238809
82	0.4295368107
83	0.4293228302
84	0.429121326
85	0.4282466007
86	0.4276488264
87	0.4271409273
88	0.426404674
89	0.4257964483
90	0.4252358212
91	0.4245211252
92	0.4239396049
93	0.4236348496
94	0.4232463276
95	0.4230186112
96	0.4226649385
97	0.422223874
98	0.4214947496
99	0.4211492708
100	0.4204028377
101	0.4197005602
102	0.4188920579
103	0.4179222406
104	0.4173205827
105	0.416400647
106	0.4155372828
107	0.4148936362
108	0.4144726473
109	0.4140775947
110	0.4133515118
111	0.4120600838
112	0.4111716412
113	0.4100976075
114	0.4090876502
115	0.4084422013
116	0.4078597121
117	0.4070058287
118	0.4062400892
119	0.4056725578
120	0.4049412055
121	0.4042729511
122	0.4035413886
123	0.4030675856
124	0.4025495214
125	0.4019977094
126	0.4013126685
127	0.4003747907
128	0.399585604
129	0.3986303757
130	0.3979106588
131	0.3975812789
132	0.3969107083
133	0.3959702451
134	0.3954146322
135	0.394901007
136	0.3938600674
137	0.3935811269
138	0.393022667
139	0.3922807459
140	0.3918517791
141	0.3914140023
142	0.3908912036
143	0.3899229051
144	0.3893952294
145	0.3889033763
146	0.3883503449
147	0.3878187658
148	0.3868834895
149	0.3860759645
150	0.3854096709
151	0.3842413813
152	0.3836291478
153	0.3825646932
154	0.3823295259
155	0.382000701
156	0.3817696586
157	0.3813161316
158	0.3808343019
159	0.3804329976
160	0.3797187179
161	0.3787621273
162	0.3782605103
163	0.3770464748
164	0.3759946689
165	0.3749725713
166	0.3741829479
167	0.3735538395
168	0.3729291095
169	0.3716507725
170	0.3708107406
171	0.370330645
172	0.3697120242
173	0.3689556455
174	0.368735475
175	0.3681843214
176	0.3674854044
177	0.3670397011
178	0.3665186077
179	0.3657260211
180	0.3651337364
181	0.3643360691
182	0.3635360583
183	0.3628381048
184	0.3622067828
185	0.3619077033
186	0.361227333
187	0.3604858352
188	0.3600438139
189	0.3595617831
190	0.3590682183
191	0.3585508741
192	0.3576136733
193	0.3568235734
194	0.3560022419
195	0.355252105
196	0.3546805702
197	0.3543373635
198	0.3540328723
199	0.3534803246
